sample_id,age,gender,race,image_path,gender_mapped,age_bin,skin_tone,subgroup
fairface_0007590,4,1,6,data\raw\images\fairface_0007590.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0008546,4,1,1,data\raw\images\fairface_0008546.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0007301,0,0,5,data\raw\images\fairface_0007301.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0000271,7,0,3,data\raw\images\fairface_0000271.jpg,Male,60+,Light,Male_60+_Light
fairface_0009981,2,0,4,data\raw\images\fairface_0009981.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0002044,3,0,0,data\raw\images\fairface_0002044.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0009087,5,0,6,data\raw\images\fairface_0009087.jpg,Male,40-59,Medium,Male_40-59_Medium
fairface_0000843,4,1,3,data\raw\images\fairface_0000843.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0007963,2,1,0,data\raw\images\fairface_0007963.jpg,Female,0-19,Light,Female_0-19_Light
fairface_0001894,5,1,5,data\raw\images\fairface_0001894.jpg,Female,40-59,Medium,Female_40-59_Medium
fairface_0008161,4,0,6,data\raw\images\fairface_0008161.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0000274,5,0,0,data\raw\images\fairface_0000274.jpg,Male,40-59,Light,Male_40-59_Light
fairface_0003354,5,1,2,data\raw\images\fairface_0003354.jpg,Female,40-59,Dark,Female_40-59_Dark
fairface_0005543,6,1,6,data\raw\images\fairface_0005543.jpg,Female,60+,Medium,Female_60+_Medium
fairface_0007579,3,0,2,data\raw\images\fairface_0007579.jpg,Male,20-39,Dark,Male_20-39_Dark
fairface_0005693,8,1,6,data\raw\images\fairface_0005693.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0007655,4,1,1,data\raw\images\fairface_0007655.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0008417,6,0,5,data\raw\images\fairface_0008417.jpg,Male,60+,Medium,Male_60+_Medium
