image_a,image_b,label,subgroup,synthetic_identity_a,synthetic_identity_b,split
data\raw\images\fairface_0005692.jpg,data\raw\images\fairface_0005698.jpg,1,Female_20-39_Medium,audit_identity_0124,audit_identity_0124,audit
data\raw\images\fairface_0001188.jpg,data\raw\images\fairface_0001583.jpg,1,Female_40-59_Medium,audit_identity_0154,audit_identity_0154,audit
data\raw\images\fairface_0006908.jpg,data\raw\images\fairface_0006993.jpg,1,Male_20-39_Light,audit_identity_0262,audit_identity_0262,audit
data\raw\images\fairface_0007108.jpg,data\raw\images\fairface_0007345.jpg,1,Female_0-19_Medium,audit_identity_0040,audit_identity_0040,audit
data\raw\images\fairface_0004351.jpg,data\raw\images\fairface_0004400.jpg,1,Female_20-39_Medium,audit_identity_0117,audit_identity_0117,audit
data\raw\images\fairface_0006836.jpg,data\raw\images\fairface_0006890.jpg,1,Male_20-39_Light,audit_identity_0261,audit_identity_0261,audit
data\raw\images\fairface_0005515.jpg,data\raw\images\fairface_0005565.jpg,1,Female_20-39_Light,audit_identity_0082,audit_identity_0082,audit
data\raw\images\fairface_0003756.jpg,data\raw\images\fairface_0003822.jpg,1,Female_20-39_Medium,audit_identity_0114,audit_identity_0114,audit
data\raw\images\fairface_0001897.jpg,data\raw\images\fairface_0001922.jpg,1,Male_20-39_Medium,audit_identity_0280,audit_identity_0280,audit
data\raw\images\fairface_0005543.jpg,data\raw\images\fairface_0005577.jpg,1,Female_60+_Medium,audit_identity_0173,audit_identity_0173,audit
data\raw\images\fairface_0007540.jpg,data\raw\images\fairface_0007838.jpg,1,Male_20-39_Light,audit_identity_0264,audit_identity_0264,audit
data\raw\images\fairface_0003499.jpg,data\raw\images\fairface_0007187.jpg,1,Female_60+_Dark,audit_identity_0164,audit_identity_0164,audit
data\raw\images\fairface_0000804.jpg,data\raw\images\fairface_0000922.jpg,1,Female_0-19_Medium,audit_identity_0023,audit_identity_0023,audit
data\raw\images\fairface_0002592.jpg,data\raw\images\fairface_0002695.jpg,1,Male_40-59_Medium,audit_identity_0340,audit_identity_0340,audit
data\raw\images\fairface_0000422.jpg,data\raw\images\fairface_0000554.jpg,1,Male_20-39_Medium,audit_identity_0273,audit_identity_0273,audit
data\raw\images\fairface_0004238.jpg,data\raw\images\fairface_0004310.jpg,1,Male_20-39_Medium,audit_identity_0294,audit_identity_0294,audit
data\raw\images\fairface_0005754.jpg,data\raw\images\fairface_0006459.jpg,1,Female_60+_Light,audit_identity_0167,audit_identity_0167,audit
data\raw\images\fairface_0007000.jpg,data\raw\images\fairface_0007021.jpg,1,Male_20-39_Medium,audit_identity_0306,audit_identity_0306,audit
data\raw\images\fairface_0003908.jpg,data\raw\images\fairface_0005169.jpg,1,Female_60+_Medium,audit_identity_0172,audit_identity_0172,audit
