sample_id,age,gender,race,image_path,gender_mapped,age_bin,skin_tone,subgroup
fairface_0008152,6,0,3,data\raw\images\fairface_0008152.jpg,Male,60+,Light,Male_60+_Light
fairface_0004438,2,1,1,data\raw\images\fairface_0004438.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0008170,6,0,3,data\raw\images\fairface_0008170.jpg,Male,60+,Light,Male_60+_Light
fairface_0000658,5,0,4,data\raw\images\fairface_0000658.jpg,Male,40-59,Medium,Male_40-59_Medium
fairface_0003436,4,1,1,data\raw\images\fairface_0003436.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0005473,4,0,0,data\raw\images\fairface_0005473.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0003064,2,1,2,data\raw\images\fairface_0003064.jpg,Female,0-19,Dark,Female_0-19_Dark
fairface_0000194,1,0,1,data\raw\images\fairface_0000194.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0002283,1,1,2,data\raw\images\fairface_0002283.jpg,Female,0-19,Dark,Female_0-19_Dark
fairface_0008113,2,1,1,data\raw\images\fairface_0008113.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0004001,3,1,5,data\raw\images\fairface_0004001.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0003505,4,0,6,data\raw\images\fairface_0003505.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0009634,3,0,4,data\raw\images\fairface_0009634.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0004995,3,0,2,data\raw\images\fairface_0004995.jpg,Male,20-39,Dark,Male_20-39_Dark
fairface_0003884,3,1,2,data\raw\images\fairface_0003884.jpg,Female,20-39,Dark,Female_20-39_Dark
fairface_0009079,2,0,0,data\raw\images\fairface_0009079.jpg,Male,0-19,Light,Male_0-19_Light
fairface_0007028,5,0,3,data\raw\images\fairface_0007028.jpg,Male,40-59,Light,Male_40-59_Light
fairface_0000632,2,1,6,data\raw\images\fairface_0000632.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0004452,1,0,6,data\raw\images\fairface_0004452.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0003897,2,1,2,data\raw\images\fairface_0003897.jpg,Female,0-19,Dark,Female_0-19_Dark
fairface_0004930,5,0,4,data\raw\images\fairface_0004930.jpg,Male,40-59,Medium,Male_40-59_Medium
fairface_0007879,4,0,4,data\raw\images\fairface_0007879.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0004970,4,0,3,data\raw\images\fairface_0004970.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0006482,1,0,1,data\raw\images\fairface_0006482.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0000350,3,1,1,data\raw\images\fairface_0000350.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0009670,3,0,3,data\raw\images\fairface_0009670.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0007410,1,0,4,data\raw\images\fairface_0007410.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0005618,3,1,3,data\raw\images\fairface_0005618.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0005642,0,0,0,data\raw\images\fairface_0005642.jpg,Male,0-19,Light,Male_0-19_Light
fairface_0008150,6,1,1,data\raw\images\fairface_0008150.jpg,Female,60+,Medium,Female_60+_Medium
fairface_0002642,7,1,3,data\raw\images\fairface_0002642.jpg,Female,60+,Light,Female_60+_Light
fairface_0009568,6,0,1,data\raw\images\fairface_0009568.jpg,Male,60+,Medium,Male_60+_Medium
fairface_0004510,5,1,3,data\raw\images\fairface_0004510.jpg,Female,40-59,Light,Female_40-59_Light
fairface_0004860,3,1,6,data\raw\images\fairface_0004860.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0005316,3,0,4,data\raw\images\fairface_0005316.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0008757,1,1,5,data\raw\images\fairface_0008757.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0004329,3,1,3,data\raw\images\fairface_0004329.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0004746,4,0,4,data\raw\images\fairface_0004746.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0003773,5,1,2,data\raw\images\fairface_0003773.jpg,Female,40-59,Dark,Female_40-59_Dark
fairface_0005341,3,0,4,data\raw\images\fairface_0005341.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0003478,4,1,1,data\raw\images\fairface_0003478.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0003529,2,0,6,data\raw\images\fairface_0003529.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0006142,3,1,1,data\raw\images\fairface_0006142.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0008592,4,1,4,data\raw\images\fairface_0008592.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0007477,7,0,3,data\raw\images\fairface_0007477.jpg,Male,60+,Light,Male_60+_Light
fairface_0001259,5,0,5,data\raw\images\fairface_0001259.jpg,Male,40-59,Medium,Male_40-59_Medium
fairface_0009151,1,0,2,data\raw\images\fairface_0009151.jpg,Male,0-19,Dark,Male_0-19_Dark
fairface_0000906,5,0,4,data\raw\images\fairface_0000906.jpg,Male,40-59,Medium,Male_40-59_Medium
fairface_0006331,2,1,2,data\raw\images\fairface_0006331.jpg,Female,0-19,Dark,Female_0-19_Dark
