image_a,image_b,label,subgroup,synthetic_identity_a,synthetic_identity_b,split
data\raw\images\fairface_0000092.jpg,data\raw\images\fairface_0000130.jpg,1,Male_0-19_Medium,train_identity_0927,train_identity_0927,train
data\raw\images\fairface_0004795.jpg,data\raw\images\fairface_0004825.jpg,1,Male_20-39_Medium,train_identity_1367,train_identity_1367,train
data\raw\images\fairface_0006973.jpg,data\raw\images\fairface_0006992.jpg,1,Female_20-39_Medium,train_identity_0606,train_identity_0606,train
data\raw\images\fairface_0001938.jpg,data\raw\images\fairface_0001960.jpg,1,Female_20-39_Dark,train_identity_0226,train_identity_0226,train
data\raw\images\fairface_0002275.jpg,data\raw\images\fairface_0002279.jpg,1,Female_20-39_Light,train_identity_0315,train_identity_0315,train
data\raw\images\fairface_0006786.jpg,data\raw\images\fairface_0006789.jpg,1,Male_20-39_Medium,train_identity_1414,train_identity_1414,train
data\raw\images\fairface_0006534.jpg,data\raw\images\fairface_0006538.jpg,1,Female_20-39_Medium,train_identity_0594,train_identity_0594,train
data\raw\images\fairface_0009547.jpg,data\raw\images\fairface_0009606.jpg,1,Male_20-39_Medium,train_identity_1483,train_identity_1483,train
data\raw\images\fairface_0004848.jpg,data\raw\images\fairface_0004860.jpg,1,Female_20-39_Medium,train_identity_0558,train_identity_0558,train
data\raw\images\fairface_0005971.jpg,data\raw\images\fairface_0006001.jpg,1,Female_20-39_Light,train_identity_0379,train_identity_0379,train
data\raw\images\fairface_0004808.jpg,data\raw\images\fairface_0004855.jpg,1,Male_40-59_Light,train_identity_1530,train_identity_1530,train
data\raw\images\fairface_0007058.jpg,data\raw\images\fairface_0007073.jpg,1,Female_20-39_Medium,train_identity_0608,train_identity_0608,train
data\raw\images\fairface_0008980.jpg,data\raw\images\fairface_0009015.jpg,1,Female_20-39_Medium,train_identity_0648,train_identity_0648,train
data\raw\images\fairface_0002708.jpg,data\raw\images\fairface_0002748.jpg,1,Male_40-59_Medium,train_identity_1573,train_identity_1573,train
data\raw\images\fairface_0000025.jpg,data\raw\images\fairface_0000060.jpg,1,Male_40-59_Medium,train_identity_1552,train_identity_1552,train
data\raw\images\fairface_0006297.jpg,data\raw\images\fairface_0006315.jpg,1,Male_0-19_Medium,train_identity_1001,train_identity_1001,train
data\raw\images\fairface_0006006.jpg,data\raw\images\fairface_0006028.jpg,1,Female_20-39_Medium,train_identity_0581,train_identity_0581,train
data\raw\images\fairface_0000601.jpg,data\raw\images\fairface_0000611.jpg,1,Male_20-39_Light,train_identity_1108,train_identity_1108,train
data\raw\images\fairface_0008978.jpg,data\raw\images\fairface_0009022.jpg,1,Female_20-39_Light,train_identity_0437,train_identity_0437,train
