anchor,positive,negative,anchor_identity,positive_identity,negative_identity,subgroup
data\raw\images\fairface_0000049.jpg,data\raw\images\fairface_0000191.jpg,data\raw\images\fairface_0002438.jpg,train_identity_0001,train_identity_0001,train_identity_1311,Female_0-19_Dark
data\raw\images\fairface_0000049.jpg,data\raw\images\fairface_0000222.jpg,data\raw\images\fairface_0002393.jpg,train_identity_0001,train_identity_0001,train_identity_0053,Female_0-19_Dark
data\raw\images\fairface_0000049.jpg,data\raw\images\fairface_0000228.jpg,data\raw\images\fairface_0002361.jpg,train_identity_0001,train_identity_0001,train_identity_0503,Female_0-19_Dark
data\raw\images\fairface_0000191.jpg,data\raw\images\fairface_0000222.jpg,data\raw\images\fairface_0000527.jpg,train_identity_0001,train_identity_0001,train_identity_0287,Female_0-19_Dark
data\raw\images\fairface_0000191.jpg,data\raw\images\fairface_0000228.jpg,data\raw\images\fairface_0005739.jpg,train_identity_0001,train_identity_0001,train_identity_1387,Female_0-19_Dark
data\raw\images\fairface_0000222.jpg,data\raw\images\fairface_0000228.jpg,data\raw\images\fairface_0007488.jpg,train_identity_0001,train_identity_0001,train_identity_1211,Female_0-19_Dark
data\raw\images\fairface_0000342.jpg,data\raw\images\fairface_0000428.jpg,data\raw\images\fairface_0004642.jpg,train_identity_0002,train_identity_0002,train_identity_0067,Female_0-19_Dark
data\raw\images\fairface_0000342.jpg,data\raw\images\fairface_0000553.jpg,data\raw\images\fairface_0008113.jpg,train_identity_0002,train_identity_0002,train_identity_0193,Female_0-19_Dark
data\raw\images\fairface_0000342.jpg,data\raw\images\fairface_0000593.jpg,data\raw\images\fairface_0001121.jpg,train_identity_0002,train_identity_0002,train_identity_0478,Female_0-19_Dark
data\raw\images\fairface_0000428.jpg,data\raw\images\fairface_0000553.jpg,data\raw\images\fairface_0003302.jpg,train_identity_0002,train_identity_0002,train_identity_1151,Female_0-19_Dark
data\raw\images\fairface_0000428.jpg,data\raw\images\fairface_0000593.jpg,data\raw\images\fairface_0009050.jpg,train_identity_0002,train_identity_0002,train_identity_1468,Female_0-19_Dark
data\raw\images\fairface_0000553.jpg,data\raw\images\fairface_0000593.jpg,data\raw\images\fairface_0009855.jpg,train_identity_0002,train_identity_0002,train_identity_0453,Female_0-19_Dark
